ano,codigo_da_ies,nome_da_ies,sigla_da_ies,organizacao_academica,categoria_administrativa,codigo_do_curso,codigo_da_area,area_de_avaliacao,modalidade_de_ensino,codigo_do_municipio,municipio_do_curso,sigla_da_uf,no_de_concluintes_inscritos,no_de_concluintes_participantes,nota_bruta_fg,nota_padronizada_fg,nota_bruta_ce,nota_padronizada_ce,conceito_enade_(continuo),concluintes_participantes_com_nota_no_enem,proporcao_de_concluintes_participantes_com_nota_no_enem,nota_bruta_idd,nota_padronizada_idd,nota_bruta_-_organizacao_didatico-pedagogica,nota_padronizada_organizacao_didatico-pedagogica,nota_bruta_-_infraestrutura_e_instalacoes_fisicas,nota_padronizada_infraestrutura_e_instalacoes_fisicas,nota_bruta_-_oportunidade_de_ampliacao_da_formacao,nota_padronizada_oportunidade_de_ampliacao_da_formacao,nota_bruta_mestres,nota_padronizada_mestres,nota_bruta_doutores,nota_padronizada_doutores,nota_bruta_-_regime_de_trabalho,nota_padronizada_regime_de_trabalho,cpc_(continuo),cpc_(faixa),entidade_beneficiente_de_assistencia_social_(cebas)
2022.0,1.0,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,13.0,1.0,ADMINISTRAÇÃO,Educação Presencial,5103403.0,Cuiabá,MT,124.0,52.0,62.48653846,3.898611545,49.65769231,3.668672597,3.726,48.0,"0,923076923",1.472995742,2.772492304,4.714210447,1.603574766,4.616773903,1.709595808,4.579223744,2.814190375,0.965909091,4.783057852,0.909090909,4.545454545,1.0,5.0,3.407253951,4,-
2022.0,1.0,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,1113617.0,100.0,ADMINISTRAÇÃO PÚBLICA,Educação a Distância,5103403.0,Cuiabá,MT,14.0,12.0,47.35,0.838938612,38.05833333,1.820523602,1.575,4.0,"0,333333333",0.358997347,2.90696137,5.517006803,4.066459418,5.347402597,3.826754382,4.743027211,3.518730095,1.0,5.0,1.0,5.0,1.0,5.0,3.416752378,4,-
2022.0,1.0,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,8.0,22.0,CIÊNCIAS CONTÁBEIS,Educação Presencial,5103403.0,Cuiabá,MT,84.0,73.0,59.40410959,3.800344978,27.14657534,3.226942138,3.37,73.0,1,0.102991449,2.550972792,4.699057116,2.144984758,4.780751964,2.557951858,4.216240447,2.499402496,1.0,5.0,0.705882353,3.529411765,1.0,5.0,3.197567324,4,-
2022.0,1.0,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,2.0,13.0,CIÊNCIAS ECONÔMICAS,Educação Presencial,5103403.0,Cuiabá,MT,36.0,29.0,60.87241379,2.281605557,31.11034483,1.603345791,1.772,29.0,1,-2.794492864,1.249232733,4.816734694,2.041836735,5.08002886,2.976063492,4.457959184,2.747932277,0.976190476,4.66269841,0.904761905,4.523809525,1.0,5.0,2.565726649,3,-
2022.0,1.0,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,1.0,2.0,DIREITO,Educação Presencial,5103403.0,Cuiabá,MT,91.0,46.0,76.33043478,4.685827631,59.00434783,4.822988366,4.788,45.0,"0,97826087",3.083265416,3.316529171,4.836223036,1.982800464,5.053911336,3.013874594,5.122407407,3.664533011,0.979166667,4.856770836,0.854166667,4.270833335,1.0,5.0,3.889424749,4,-
2022.0,1.0,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,123427.0,2.0,DIREITO,Educação Presencial,5101803.0,Barra do Garças,MT,71.0,64.0,68.45625,3.781718846,50.384375,3.684109544,3.708,62.0,"0,96875",1.809960732,2.981477274,5.025023548,2.472283273,4.965844156,2.828995026,5.053044218,3.558980332,0.818181818,3.749999998,0.454545455,2.272727275,1.0,5.0,3.198224016,4,-
2022.0,1.0,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,62936.0,803.0,JORNALISMO,Educação Presencial,5103403.0,Cuiabá,MT,31.0,20.0,69.53,3.683731513,58.85,3.332477975,3.42,20.0,1,0.633498082,2.640138289,5.064285714,2.661702576,4.32834596,1.567396213,4.969940476,3.292129287,0.93877551,4.3877551,0.918367347,4.591836735,1.0,5.0,3.361264552,4,-
2022.0,1.0,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,116708.0,803.0,JORNALISMO,Educação Presencial,5101803.0,Barra do Garças,MT,30.0,22.0,62.83636364,2.92222567,56.97272727,3.075559288,3.037,21.0,"0,954545455",1.495019269,2.990154196,5.577511774,3.944225662,5.308405483,3.579867663,5.246258503,3.750273166,0.928571429,4.28571429,0.714285714,3.57142857,1.0,5.0,3.454709139,4,-
2022.0,1.0,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,117004.0,18.0,PSICOLOGIA,Educação Presencial,5103403.0,Cuiabá,MT,78.0,78.0,68.97435897,3.472595987,66.76538462,3.6798058,3.628,76.0,"0,974358974",0.568255202,2.647213828,5.183150183,2.224724428,4.652176527,1.96700329,4.592429792,2.884110639,0.875,3.854166666,0.725,3.625,1.0,5.0,3.197245272,4,-
2022.0,1.0,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,62940.0,804.0,PUBLICIDADE E PROPAGANDA,Educação Presencial,5103403.0,Cuiabá,MT,25.0,6.0,58.18333333,2.827475067,48.6,2.784974093,2.795,6.0,1,-0.577135139,2.300680087,5.071428571,2.968749999,4.16031746,1.329215974,5.381632653,4.134646278,1.0,5.0,0.965517241,4.827586205,1.0,5.0,3.230979034,4,-
2022.0,1.0,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,7.0,38.0,SERVIÇO SOCIAL,Educação Presencial,5103403.0,Cuiabá,MT,57.0,46.0,59.41956522,3.163117697,55.75434783,3.507669129,3.421,46.0,1,2.671236709,3.256078233,5.445072901,2.95553174,4.391170104,1.369233362,4.683263305,3.004504478,0.975609756,4.81707317,0.87804878,4.3902439,1.0,5.0,3.583989869,4,-
2022.0,2.0,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pública Federal,145.0,1.0,ADMINISTRAÇÃO,Educação Presencial,5300108.0,Brasília,DF,250.0,173.0,67.21445087,4.447411592,59.20462428,4.751091188,4.675,151.0,"0,87283237",6.676228614,4.571006391,4.981601305,2.30989024,4.879755245,2.335173153,4.742210012,3.06493848,0.987792472,4.922315731,0.895218718,4.47609359,1.0,5.0,4.317098101,5,-
2022.0,2.0,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pública Federal,149.0,22.0,CIÊNCIAS CONTÁBEIS,Educação Presencial,5300108.0,Brasília,DF,110.0,79.0,59.06202532,3.759596677,26.37721519,3.052131702,3.228,72.0,"0,911392405",-0.098087852,2.435219415,4.866548158,2.51255622,4.817779475,2.632114753,4.557787115,2.978206236,0.985093168,4.910559008,0.881987578,4.40993789,1.0,5.0,3.297411604,4,-
2022.0,2.0,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pública Federal,167.0,22.0,CIÊNCIAS CONTÁBEIS,Educação Presencial,5300108.0,Brasília,DF,139.0,91.0,58.78901099,3.727075831,29.59450549,3.783149443,3.769,78.0,"0,857142857",0.538786729,2.801842846,4.802142857,2.371214031,4.810228548,2.616990901,4.486369048,2.878087451,0.983180428,4.899082568,0.892966361,4.464831805,1.0,5.0,3.527269951,4,-
2022.0,2.0,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pública Federal,122.0,13.0,CIÊNCIAS ECONÔMICAS,Educação Presencial,5300108.0,Brasília,DF,121.0,106.0,69.31981132,3.410539601,49.57641509,4.668194569,4.353,91.0,"0,858490566",5.650728053,4.313578702,4.996661156,2.49165289,4.946905922,2.683193029,4.926696165,3.432497442,0.981715893,4.74097515,0.895921238,4.47960619,1.0,5.0,4.18986883,5,-
2022.0,2.0,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pública Federal,148.0,2.0,DIREITO,Educação Presencial,5300108.0,Brasília,DF,143.0,113.0,76.2539823,4.677049407,58.93628319,4.813995602,4.779,108.0,"0,955752212",2.27396477,3.103573293,5.081494506,2.618689461,4.854584127,2.595426673,4.908276191,3.33868116,0.983870968,4.889112905,0.903225806,4.51612903,1.0,5.0,3.870945358,4,-
2022.0,2.0,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pública Federal,165.0,2.0,DIREITO,Educação Presencial,5300108.0,Brasília,DF,175.0,125.0,77.58,4.829301898,57.7112,4.652136473,4.696,108.0,"0,864",2.807556205,3.243980239,5.057940869,2.557624476,4.808664497,2.499027523,4.81193902,3.192081118,0.985428051,4.899817851,0.901639344,4.50819672,1.0,5.0,3.889969736,4,-
2022.0,2.0,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pública Federal,34642.0,803.0,JORNALISMO,Educação Presencial,5300108.0,Brasília,DF,60.0,39.0,74.1974359,4.214725358,64.6025641,4.119759008,4.143,37.0,"0,948717949",1.276059678,2.901196036,5.259615385,3.149820448,5.220213499,3.398772693,5.142775974,3.578695915,0.975708502,4.75708502,0.862348178,4.31174089,1.0,5.0,3.718303808,4,-
