ano,codigo_da_ies,nome_da_ies,sigla_da_ies,organizacao_academica,categoria_administrativa,codigo_do_curso,codigo_da_area,area_de_avaliacao,modalidade_de_ensino,codigo_do_municipio,municipio_do_curso,sigla_da_uf,no_de_concluintes_inscritos,no_de_concluintes_participantes,nota_bruta_fg,nota_padronizada_fg,nota_bruta_ce,nota_padronizada_ce,conceito_enade_(continuo),concluintes_participantes_com_nota_no_enem,proporcao_de_concluintes_participantes_com_nota_no_enem,nota_bruta_idd,nota_padronizada_idd,nota_bruta_-_organizacao_didatico-pedagogica,nota_padronizada_organizacao_didatico-pedagogica,nota_bruta_-_infraestrutura_e_instalacoes_fisicas,nota_padronizada_infraestrutura_e_instalacoes_fisicas,nota_bruta_-_oportunidade_de_ampliacao_da_formacao,nota_padronizada_oportunidade_de_ampliacao_da_formacao,nota_bruta_mestres,nota_padronizada_mestres,nota_bruta_doutores,nota_padronizada_doutores,nota_bruta_-_regime_de_trabalho,nota_padronizada_regime_de_trabalho,cpc_(continuo),cpc_(faixa),entidade_beneficiente_de_assistencia_social_(cebas)
2023,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,3,5710,ENGENHARIA CIVIL,Educação Presencial,5103403,Cuiabá,MT,33,31,60.93548387,3.939283693,59.1516129,4.490015307,4.352,31,1.0,7.439649618,4.207,3.4249592701205605,0.0,3.7097338145725245,0.019,3.103225806451613,0.682,0.8409090909090909,3.33,0.5909090909090909,2.955,1.0,5.0,3.429,4,-
2023,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,9,17,AGRONOMIA,Educação Presencial,5103403,Cuiabá,MT,42,36,56.01388889,3.972046777,60.475,3.779159724,3.827,35,0.972222222,2.772555648,3.316,4.674654710368996,0.954,4.438242313242314,1.466,4.357142857142857,2.143,0.9558823529411765,4.206,0.8970588235294118,4.449,1.0,5.0,3.482,4,-
2023,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,10,6405,ENGENHARIA FLORESTAL,Educação Presencial,5103403,Cuiabá,MT,13,11,59.96363636,4.563992521,40.94545455,2.177520815,2.774,11,1.0,0.288870663,2.658,4.786435786435787,1.333,4.890588578088578,2.431,4.594444444444445,2.468,0.9444444444444444,3.389,0.9259259259259259,4.444,1.0,5.0,3.064,4,-
2023,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,12,12,MEDICINA,Educação Presencial,5103403,Cuiabá,MT,78,78,73.05128205,4.034586731,68.23076923,3.310907914,3.492,76,0.974358974,-1.136657718,1.934,5.230286912949452,2.925,5.2208848843464235,3.326,4.88931623931624,3.153,0.7222222222222222,3.043,0.49074074074074076,2.324,1.0,5.0,2.792,3,-
2023,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,16,5806,ENGENHARIA ELÉTRICA,Educação Presencial,5103403,Cuiabá,MT,28,23,56.86521739,3.443126921,49.39130435,4.425191816,4.18,10,0.434782609,3.720816543,4.404,4.975811582829126,2.928,5.0916429249762585,3.206,4.945061728395062,3.523,0.9787234042553191,4.681,0.8936170212765957,4.468,1.0,5.0,4.242,5,-
2023,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,17,23,ENFERMAGEM,Educação Presencial,5103403,Cuiabá,MT,46,43,57.04418605,3.653900937,66.41395349,3.910117772,3.846,43,1.0,4.120643784,3.562,5.2556178669815035,2.62,4.816963339690613,2.173,4.861742424242424,3.143,0.9387755102040817,4.475,0.8979591836734694,4.49,1.0,5.0,3.784,4,-
2023,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,20,28,NUTRIÇÃO,Educação Presencial,5103403,Cuiabá,MT,27,27,58.83333333,4.10485211,59.05555556,3.945435521,3.985,27,1.0,0.990889144,3.023,4.8733920400587065,1.883,4.833570750237417,2.114,4.55925925925926,2.87,0.9565217391304348,4.457,0.782608695652174,3.913,1.0,5.0,3.47,4,-
2023,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,37,5,MEDICINA VETERINÁRIA,Educação Presencial,5103403,Cuiabá,MT,23,21,56.51904762,3.513451634,56.70952381,3.627752206,3.599,21,1.0,-0.799460565,2.08,4.624237966457646,1.455,4.600638491942839,2.045,4.239130434782608,2.293,0.9545454545454546,4.318,0.9318181818181818,4.621,1.0,5.0,3.109,4,-
2023,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,44,21,ARQUITETURA E URBANISMO,Educação Presencial,5103403,Cuiabá,MT,30,25,65.824,4.064420651,69.536,4.233084853,4.191,24,0.96,1.914345033,3.488,5.139655565245402,2.64,4.299091712884816,1.396,4.850574712643678,3.44,0.8888888888888888,3.75,0.5833333333333334,2.917,1.0,5.0,3.507,4,-
2023,2,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pública Federal,132,21,ARQUITETURA E URBANISMO,Educação Presencial,5300108,Brasília,DF,163,135,67.2762963,4.251666656,69.46592593,4.22433254,4.231,127,0.940740741,3.421481321,4.144,5.311189598356378,3.111,5.024521690430782,2.933,5.204545454545454,3.92,0.9930747922437673,4.922,0.9002770083102493,4.501,1.0,5.0,4.194,5,-
