ano,codigo_da_area,area_de_avaliacao,grau_academico,codigo_da_ies,nome_da_ies,sigla_da_ies,organizacao_academica,categoria_administrativa,codigo_do_curso,modalidade_de_ensino,codigo_do_municipio,municipio_do_curso,sigla_da_uf,no_de_concluintes_inscritos,no_de_concluintes_participantes,no_de_concluintes_participantes_com_nota_no_enem,proporcao_de_concluintes_participantes_com_nota_no_enem,nota_bruta_idd,idd_(continuo),idd_(faixa),observacao,entidade_beneficiente_de_assistencia_social_(cebas)
2021,2501.0,ARTES VISUAIS ,Licenciatura,2.0,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pública Federal,151.0,Educação Presencial,5300108.0,Brasília,DF,54.0,41.0,22.0,0.536,-0.302,2.236,3,,-
2021,2501.0,ARTES VISUAIS ,Licenciatura,2.0,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pública Federal,52159.0,Educação Presencial,5300108.0,Brasília,DF,34.0,28.0,16.0,0.571,-2.83,1.369,2,,-
2021,2501.0,ARTES VISUAIS ,Licenciatura,3.0,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Universidade,Pública Federal,80419.0,Educação Presencial,2806701.0,São Cristóvão,SE,33.0,33.0,32.0,0.969,-0.15,2.288,3,,-
2021,2501.0,ARTES VISUAIS ,Licenciatura,4.0,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Universidade,Pública Federal,62512.0,Educação Presencial,1302603.0,Manaus,AM,27.0,23.0,22.0,0.956,2.26,3.114,4,,-
2021,2501.0,ARTES VISUAIS ,Licenciatura,4.0,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Universidade,Pública Federal,112126.0,Educação a Distância,1302603.0,Manaus,AM,65.0,59.0,15.0,0.254,-0.685,2.105,3,,-
2021,2501.0,ARTES VISUAIS ,Licenciatura,4.0,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Universidade,Pública Federal,1103469.0,Educação Presencial,1303403.0,Parintins,AM,25.0,20.0,20.0,1.0,-4.027,0.959,2,,-
2021,2501.0,ARTES VISUAIS ,Licenciatura,5.0,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,Universidade,Pública Federal,1105133.0,Educação Presencial,2211001.0,Teresina,PI,52.0,37.0,33.0,0.891,0.037,2.352,3,,-
2021,2501.0,ARTES VISUAIS ,Licenciatura,9.0,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,Universidade,Pública Estadual,1146843.0,Educação Presencial,4113700.0,Londrina,PR,42.0,41.0,29.0,0.707,-0.994,1.999,3,,-
2021,2501.0,ARTES VISUAIS ,Licenciatura,12.0,UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,Universidade,Pública Federal,1044.0,Educação Presencial,4315602.0,Rio Grande,RS,18.0,16.0,14.0,0.875,-1.245,1.913,2,,-
2021,2501.0,ARTES VISUAIS ,Licenciatura,13.0,UNIVERSIDADE DE CAXIAS DO SUL,UCS,Universidade,Privada sem fins lucrativos,112356.0,Educação Presencial,4305108.0,Caxias do Sul,RS,21.0,18.0,8.0,0.444,-3.766,1.048,2,,-
2021,2501.0,ARTES VISUAIS ,Licenciatura,17.0,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,Universidade,Pública Federal,111378.0,Educação Presencial,3170206.0,Uberlândia,MG,34.0,30.0,28.0,0.933,-1.043,1.982,3,,-
2021,2501.0,ARTES VISUAIS ,Licenciatura,19.0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS,PUC-CAMPINAS,Universidade,Privada sem fins lucrativos,21865.0,Educação Presencial,3509502.0,Campinas,SP,11.0,6.0,5.0,0.833,-1.52,1.818,2,,X
2021,2501.0,ARTES VISUAIS ,Licenciatura,20.0,UNIVERSIDADE DE PASSO FUNDO,UPF,Universidade,Privada sem fins lucrativos,88502.0,Educação Presencial,4314100.0,Passo Fundo,RS,11.0,9.0,5.0,0.555,2.963,3.355,4,,X
2021,2501.0,ARTES VISUAIS ,Licenciatura,23.0,UNIVERSIDADE FEEVALE,FEEVALE,Universidade,Privada sem fins lucrativos,58330.0,Educação Presencial,4313409.0,Novo Hamburgo,RS,11.0,9.0,4.0,0.444,5.964,4.384,5,,X
2021,2501.0,ARTES VISUAIS ,Licenciatura,29.0,UNIVERSIDADE ESTADUAL DO CEARÁ,UECE,Universidade,Pública Estadual,1152477.0,Educação a Distância,2304400.0,Fortaleza,CE,9.0,4.0,1.0,0.25,,,SC,,-
2021,2501.0,ARTES VISUAIS ,Licenciatura,43.0,FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA,UDESC,Universidade,Pública Estadual,117352.0,Educação Presencial,4205407.0,Florianópolis,SC,24.0,22.0,10.0,0.454,1.529,2.864,3,,-
2021,2501.0,ARTES VISUAIS ,Licenciatura,54.0,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,Universidade,Pública Estadual,91972.0,Educação Presencial,3509502.0,Campinas,SP,24.0,15.0,15.0,1.0,1.104,2.718,3,,-
2021,2501.0,ARTES VISUAIS ,Licenciatura,56.0,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Universidade,Pública Estadual,94725.0,Educação Presencial,3550308.0,São Paulo,SP,61.0,53.0,48.0,0.905,-0.14,2.291,3,,-
2021,2501.0,ARTES VISUAIS ,Licenciatura,56.0,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Universidade,Pública Estadual,1212284.0,Educação Presencial,3506003.0,Bauru,SP,30.0,28.0,23.0,0.821,2.364,3.15,4,,-
2021,2501.0,ARTES VISUAIS ,Licenciatura,57.0,UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,Universidade,Pública Estadual,5000539.0,Educação Presencial,4115200.0,Maringá,PR,43.0,38.0,27.0,0.71,-1.411,1.856,2,,-
2021,2501.0,ARTES VISUAIS ,Licenciatura,76.0,UNIVERSIDADE REGIONAL DE BLUMENAU,FURB,Universidade,Pública Municipal,1178043.0,Educação Presencial,4202404.0,Blumenau,SC,15.0,14.0,9.0,0.642,6.297,4.499,5,,-
