ano,codigo_da_area,area_de_avaliacao,codigo_da_ies,nome_da_ies,sigla_da_ies,organizacao_academica,categoria_administrativa,codigo_do_curso,modalidade_de_ensino,codigo_do_municipio,municipio_do_curso,sigla_da_uf,no_de_concluintes_inscritos,no_de_concluintes_participantes,no_de_concluintes_participantes_com_nota_no_enem,proporcao_de_concluintes_participantes_com_nota_no_enem,nota_bruta_idd,idd_(continuo),idd_(faixa),entidade_beneficiente_de_assistencia_social_(cebas)
2022,1,ADMINISTRAÇÃO,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,13,Educação Presencial,5103403,Cuiabá,MT,124,52,48,0.923076923,1.472995742,2.772492304,3,-
2022,100,ADMINISTRAÇÃO PÚBLICA,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,1113617,Educação a Distância,5103403,Cuiabá,MT,14,12,4,0.333333333,0.358997347,2.90696137,3,-
2022,22,CIÊNCIAS CONTÁBEIS,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,8,Educação Presencial,5103403,Cuiabá,MT,84,73,73,1.0,0.102991449,2.550972792,3,X
2022,13,CIÊNCIAS ECONÔMICAS,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,2,Educação Presencial,5103403,Cuiabá,MT,36,29,29,1.0,-2.794492864,1.249232733,2,-
2022,2,DIREITO,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,1,Educação Presencial,5103403,Cuiabá,MT,91,46,45,0.97826087,3.083265416,3.316529171,4,-
2022,2,DIREITO,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,123427,Educação Presencial,5101803,Barra do Garças,MT,71,64,62,0.96875,1.809960732,2.981477274,4,-
2022,803,JORNALISMO,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,62936,Educação Presencial,5103403,Cuiabá,MT,31,20,20,1.0,0.633498082,2.640138289,3,-
2022,803,JORNALISMO,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,116708,Educação Presencial,5101803,Barra do Garças,MT,30,22,21,0.954545455,1.495019269,2.990154196,4,-
2022,18,PSICOLOGIA,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,117004,Educação Presencial,5103403,Cuiabá,MT,78,78,76,0.974358974,0.568255202,2.647213828,3,X
2022,804,PUBLICIDADE E PROPAGANDA,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,62940,Educação Presencial,5103403,Cuiabá,MT,25,6,6,1.0,-0.577135139,2.300680087,3,-
2022,38,SERVIÇO SOCIAL,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,7,Educação Presencial,5103403,Cuiabá,MT,57,46,46,1.0,2.671236709,3.256078233,4,-
2022,1,ADMINISTRAÇÃO,2,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pública Federal,145,Educação Presencial,5300108,Brasília,DF,250,173,151,0.87283237,6.676228614,4.571006391,5,-
2022,22,CIÊNCIAS CONTÁBEIS,2,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pública Federal,149,Educação Presencial,5300108,Brasília,DF,110,79,72,0.911392405,-0.098087852,2.435219415,3,X
2022,22,CIÊNCIAS CONTÁBEIS,2,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pública Federal,167,Educação Presencial,5300108,Brasília,DF,139,91,78,0.857142857,0.538786729,2.801842846,3,X
2022,13,CIÊNCIAS ECONÔMICAS,2,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pública Federal,122,Educação Presencial,5300108,Brasília,DF,121,106,91,0.858490566,5.650728053,4.313578702,5,-
2022,2,DIREITO,2,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pública Federal,148,Educação Presencial,5300108,Brasília,DF,143,113,107,0.946902655,2.27396477,3.103573293,4,-
2022,2,DIREITO,2,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pública Federal,165,Educação Presencial,5300108,Brasília,DF,175,125,108,0.864,2.807556205,3.243980239,4,-
2022,803,JORNALISMO,2,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pública Federal,34642,Educação Presencial,5300108,Brasília,DF,61,39,37,0.948717949,1.276059678,2.901196036,3,-
2022,18,PSICOLOGIA,2,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pública Federal,22844,Educação Presencial,5300108,Brasília,DF,10,2,0,0.0,,,SC,X
2022,18,PSICOLOGIA,2,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pública Federal,26033,Educação Presencial,5300108,Brasília,DF,103,80,73,0.9125,1.463073892,2.908378827,3,X
2022,804,PUBLICIDADE E PROPAGANDA,2,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pública Federal,31381,Educação Presencial,5300108,Brasília,DF,76,48,45,0.9375,1.160872878,2.860145228,3,-
2022,81,RELAÇÕES INTERNACIONAIS,2,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pública Federal,128,Educação Presencial,5300108,Brasília,DF,85,67,63,0.940298507,3.649366541,3.817865485,4,-
2022,38,SERVIÇO SOCIAL,2,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pública Federal,126,Educação Presencial,5300108,Brasília,DF,90,69,67,0.971014493,7.599712284,4.350380867,5,-
