ano,codigo_da_area,area_de_avaliacao,codigo_da_ies,nome_da_ies,sigla_da_ies,organizacao_academica,categoria_administrativa,codigo_do_curso,modalidade_de_ensino,codigo_do_municipio,municipio_do_curso,sigla_da_uf,no_de_concluintes_inscritos,no_de_concluintes_participantes,no_de_concluintes_participantes_com_nota_no_enem,proporcao_de_concluintes_participantes_com_nota_no_enem,nota_bruta_idd,idd_(continuo),idd_(faixa),entidade_beneficiente_de_assistencia_social_(cebas)
2023,6002.0,ENGENHARIA DE ALIMENTOS,699.0,FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA,UNIR,Universidade,Pública Federal,116776.0,Educação Presencial,1100023.0,Ariquemes,RO,4.0,4.0,4.0,1.0,2.32595322617255,3.68853254078464,4,-
2023,17.0,AGRONOMIA,4785.0,INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE RONDÔNIA,IFRO,"Instituto Federal de Educação, Ciência e Tecnologia",Pública Federal,1427412.0,Educação Presencial,1100023.0,Ariquemes,RO,34.0,34.0,32.0,0.9411764705882353,4.60664566656534,3.86897435991335,4,-
2023,5710.0,ENGENHARIA CIVIL,4613.0,Centro Universitário FAEMA,UNIFAEMA,Centro Universitário,Privada com fins lucrativos,1259888.0,Educação Presencial,1100023.0,Ariquemes,RO,24.0,21.0,16.0,0.7619047619047619,-0.397054035832326,2.10240467756246,3,-
2023,23.0,ENFERMAGEM,4613.0,Centro Universitário FAEMA,UNIFAEMA,Centro Universitário,Privada com fins lucrativos,104306.0,Educação Presencial,1100023.0,Ariquemes,RO,35.0,34.0,28.0,0.8235294117647058,-0.686324002793189,2.36119715725288,3,-
2023,19.0,FARMÁCIA,4613.0,Centro Universitário FAEMA,UNIFAEMA,Centro Universitário,Privada com fins lucrativos,104308.0,Educação Presencial,1100023.0,Ariquemes,RO,23.0,23.0,21.0,0.9130434782608695,-5.37631491086197,0.911085149222263,1,-
2023,36.0,FISIOTERAPIA,4613.0,Centro Universitário FAEMA,UNIFAEMA,Centro Universitário,Privada com fins lucrativos,104312.0,Educação Presencial,1100023.0,Ariquemes,RO,29.0,27.0,24.0,0.8888888888888888,-2.8970285906983,1.6998315991806,2,-
2023,17.0,AGRONOMIA,4613.0,Centro Universitário FAEMA,UNIFAEMA,Centro Universitário,Privada com fins lucrativos,1321870.0,Educação Presencial,1100023.0,Ariquemes,RO,30.0,26.0,20.0,0.7692307692307693,-3.7258809036589,1.35723446619489,2,-
2023,21.0,ARQUITETURA E URBANISMO,4613.0,Centro Universitário FAEMA,UNIFAEMA,Centro Universitário,Privada com fins lucrativos,1321871.0,Educação Presencial,1100023.0,Ariquemes,RO,15.0,14.0,9.0,0.6428571428571429,-2.69671271600081,1.48075674427021,2,-
2023,19.0,FARMÁCIA,1540.0,INSTITUTO DE ENSINO SUPERIOR DE RONDÔNIA,IESUR,Faculdade,Privada sem fins lucrativos,5000263.0,Educação Presencial,1100023.0,Ariquemes,RO,26.0,23.0,17.0,0.7391304347826086,-1.55137102229788,1.94839030006213,3,-
2023,28.0,NUTRIÇÃO,1540.0,INSTITUTO DE ENSINO SUPERIOR DE RONDÔNIA,IESUR,Faculdade,Privada sem fins lucrativos,1279570.0,Educação Presencial,1100023.0,Ariquemes,RO,17.0,17.0,9.0,0.5294117647058824,-1.30178088305005,2.02772752429073,3,-
