ano,codigo_da_ies,nome_da_ies,sigla_da_ies,organizacao_academica,categoria_administrativa,sigla_da_uf,no_de_cursos_com_cpc_no_trienio,alfa_(proporcao_de_graduacao),conceito_medio_de_graduacao,beta_(proporcao_de_mestrado_equivalente),conceito_medio_de_mestrado,gama_(proporcao_de_doutorandos_-_equivalente),conceito_medio_do_doutorado,igc_(continuo),igc_(faixa),(observacao),entidade_beneficiente_de_assistencia_social_(cebas)
2022,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,MT,77,0.736044695,3.106215119,0.167179584,4.448683503,0.096775721,4.817010309,3.496211863,4,2,-
2022,2,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pública Federal,DF,77,0.4837,3.4849,0.2524,4.7324,0.264,4.9206,4.1787,5,1,-
2022,3,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Universidade,Pública Federal,SE,85,0.740714525,3.348702601,0.150169504,4.488959764,0.109115971,4.781860465,3.676314865,4,2,-
2022,4,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Universidade,Pública Federal,AM,70,0.80638238,2.941900205,0.126908733,4.351913085,0.066708887,4.501666667,3.224893438,4,2,-
2022,5,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,Universidade,Pública Federal,PI,72,0.7592,2.9535,0.1368,4.4215,0.104,4.7381,3.34,4,1,-
2022,6,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,Universidade,Pública Federal,MG,38,0.6776,3.4158,0.2114,4.5368,0.111,4.8443,3.8113,4,1,-
2022,7,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,Universidade,Pública Federal,SP,54,0.4415,3.466,0.2375,4.6888,0.3209,4.9077,4.2192,5,1,-
2022,8,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Universidade,Pública Federal,MG,60,0.508465701,3.621979736,0.220020946,4.776455696,0.271513353,4.971686372,4.242452003,5,2,-
2022,9,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,Universidade,Pública Estadual,PR,42,0.5858,3.2716,0.2001,4.6563,0.2141,4.8074,3.8775,4,1,-
2022,10,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PUCPR,Universidade,Privada sem fins lucrativos,PR,72,0.813650907,3.380154114,0.087877711,4.839111593,0.098471383,4.908830275,3.658894813,4,2,X
2022,11,UNIVERSIDADE CATÓLICA DE PERNAMBUCO,UNICAP,Universidade,Privada sem fins lucrativos,PE,29,0.842,2.5567,0.0851,4.5,0.0729,4.7815,2.8843,3,1,-
2022,12,UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,Universidade,Pública Federal,RS,41,0.6199,3.2085,0.2134,4.5396,0.1668,4.794,3.7569,4,1,-
2022,13,UNIVERSIDADE DE CAXIAS DO SUL,UCS,Universidade,Privada sem fins lucrativos,RS,114,0.8785,2.9996,0.0762,4.6022,0.0452,4.7778,3.2023,4,1,-
2022,14,UNIVERSIDADE DO VALE DO RIO DOS SINOS,UNISINOS,Universidade,Privada sem fins lucrativos,RS,78,0.699274047,3.438679825,0.137341198,4.722536349,0.163384755,4.91642925,3.856447946,4,2,-
2022,15,UNIVERSIDADE CATÓLICA DE PETRÓPOLIS,UCP,Universidade,Privada sem fins lucrativos,RJ,26,0.8636,2.9922,0.1012,4.3175,0.0353,4.5,3.1795,4,1,-
2022,17,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,Universidade,Pública Federal,MG,72,0.58747918,3.280730116,0.208269969,4.662020202,0.204250851,4.966236955,3.912677565,4,2,-
2022,18,UNIVERSIDADE CATÓLICA DE PELOTAS,UCPEL,Universidade,Privada sem fins lucrativos,RS,26,0.8298,2.6867,0.0804,4.6885,0.0898,5.0,3.0554,4,1,X
2022,19,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS,PUC-CAMPINAS,Universidade,Privada sem fins lucrativos,SP,43,0.9281,2.9062,0.0487,4.523,0.0232,4.835,3.0296,4,1,X
2022,20,UNIVERSIDADE DE PASSO FUNDO,UPF,Universidade,Privada sem fins lucrativos,RS,70,0.7777,2.8311,0.138,4.5935,0.0843,4.796,3.2399,4,1,X
2022,21,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,PUCRS,Universidade,Privada sem fins lucrativos,RS,45,0.602140578,3.328017731,0.166460842,4.989410681,0.23139858,4.98955495,3.989051953,5,2,X
2022,22,UNIVERSIDADE PRESBITERIANA MACKENZIE,MACKENZIE,Universidade,Privada sem fins lucrativos,SP,47,0.8642,3.1966,0.0642,4.8621,0.0716,4.9087,3.426,4,1,X
2022,23,UNIVERSIDADE FEEVALE,FEEVALE,Universidade,Privada sem fins lucrativos,RS,48,0.8601906,3.237268734,0.082521118,4.658054711,0.057288282,5.0,3.455497427,4,2,X
2022,24,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,UESC,Universidade,Pública Estadual,BA,32,0.6572,3.0446,0.196,4.5932,0.1469,4.87,3.6161,4,1,-
2022,27,Centro Universitário Vale do Rio Verde,UNINCOR,Centro Universitário,Privada sem fins lucrativos,MG,20,0.952098347,2.823472127,0.047901653,4.0,,,2.879829758,3,2,-
2022,29,UNIVERSIDADE ESTADUAL DO CEARÁ,UECE,Universidade,Pública Estadual,CE,68,0.653467176,3.053110196,0.199593546,4.484507898,0.146939278,4.784013605,3.593145637,4,2,-
2022,30,Professor Edson Antônio Velano,UNIFENAS,Universidade,Privada sem fins lucrativos,MG,25,0.956521739,3.433163477,0.02866242,4.432432432,0.01481584,4.422413793,3.476461519,4,2,-
2022,32,UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL,UNCISAL,Universidade,Pública Estadual,AL,9,0.9074,2.6973,0.0926,4.5,0.0,0.0,2.8642,3,1,-
2022,33,FACULDADE DE TECNOLOGIA DE SOROCABA,FATEC SO,Faculdade,Pública Estadual,SP,2,1.0,2.951403673,,,,,2.951403673,4,2,-
2022,34,FACULDADE DE TECNOLOGIA DE SÃO PAULO,FATEC-SP,Faculdade,Pública Estadual,SP,3,1.0,3.1496,0.0,0.0,0.0,0.0,3.1496,4,1,-
2022,35,FACULDADE DE TECNOLOGIA DE AMERICANA,FATEC-AM,Faculdade,Pública Estadual,SP,3,1.0,2.6756,0.0,0.0,0.0,0.0,2.6756,3,1,-
2022,36,FACULDADE DE TECNOLOGIA RUBENS LARA,FATEC-BS,Faculdade,Pública Estadual,SP,3,1.0,2.6687,0.0,0.0,0.0,0.0,2.6687,3,1,-
2022,37,FACULDADE DE TECNOLOGIA DE JAHU,FATEC-JAHU,Faculdade,Pública Estadual,SP,2,1.0,2.6098,0.0,0.0,0.0,0.0,2.6098,3,1,-
2022,40,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,Universidade,Pública Estadual,BA,117,0.8449,2.9656,0.1114,4.3576,0.0437,4.643,3.194,4,1,-
2022,43,FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA,UDESC,Universidade,Pública Estadual,SC,38,0.626551433,3.402930634,0.218012866,4.651338367,0.155435701,4.842312009,3.898830835,4,2,-
2022,47,UNIVERSIDADE ESTADUAL DE GOIÁS,UEG,Universidade,Pública Estadual,GO,141,0.911,2.5645,0.0785,4.3202,0.0106,4.8385,2.7263,3,1,-
2022,54,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,Universidade,Pública Estadual,SP,60,0.272083825,3.628069065,0.268700992,4.929138217,0.459215183,4.972046414,4.594842441,5,2,-
2022,56,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Universidade,Pública Estadual,SP,135,0.4431,3.4256,0.2484,4.805,0.3085,4.9125,4.2269,5,1,-
2022,57,UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,Universidade,Pública Estadual,PR,63,0.586767533,3.220370076,0.199322912,4.642001916,0.213909554,4.8974122,3.862469208,4,2,-
