ano,codigo_da_ies,nome_da_ies,sigla_da_ies,organizacao_academica,categoria_administrativa,sigla_da_uf,no_de_cursos_com_cpc_no_trienio,alfa_(proporcao_de_graduacao),conceito_medio_de_graduacao,beta_(proporcao_de_mestrado_equivalente),conceito_medio_de_mestrado,gama_(proporcao_de_doutorandos_-_equivalente),conceito_medio_do_doutorado,igc_(continuo),igc_(faixa),entidade_beneficiente_de_assistencia_social_(cebas)
2023,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,MT,71,0.716,3.146,0.176,4.458,0.109,4.745,3.554,4,-
2023,2,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pública Federal,DF,71,0.476,3.695,0.261,4.73,0.263,4.932,4.29,5,-
2023,3,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Universidade,Pública Federal,SE,83,0.72,3.369,0.161,4.488,0.119,4.78,3.717,4,-
2023,4,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Universidade,Pública Federal,AM,72,0.8,2.929,0.131,4.397,0.069,4.558,3.234,4,-
2023,5,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,Universidade,Pública Federal,PI,69,0.734,3.021,0.146,4.418,0.12,4.715,3.428,4,-
2023,6,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,Universidade,Pública Federal,MG,38,0.664,3.488,0.216,4.566,0.12,4.842,3.883,4,-
2023,7,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,Universidade,Pública Federal,SP,50,0.422,3.538,0.244,4.685,0.334,4.905,4.274,5,-
2023,8,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Universidade,Pública Federal,MG,59,0.512,3.862,0.222,4.769,0.266,4.967,4.357,5,-
2023,9,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,Universidade,Pública Estadual,PR,43,0.599,3.363,0.195,4.649,0.206,4.764,3.902,4,-
2023,10,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PUCPR,Universidade,Comunitária/Confessional,PR,69,0.803,3.468,0.09,4.834,0.107,4.909,3.745,4,X
2023,11,UNIVERSIDADE CATÓLICA DE PERNAMBUCO,UNICAP,Universidade,Comunitária/Confessional,PE,30,0.83,2.486,0.092,4.505,0.078,4.786,2.851,3,-
2023,12,UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,Universidade,Pública Federal,RS,41,0.576,3.23,0.238,4.548,0.186,4.792,3.834,4,-
2023,13,UNIVERSIDADE DE CAXIAS DO SUL,UCS,Universidade,Comunitária/Confessional,RS,118,0.875,2.977,0.075,4.582,0.05,4.696,3.183,4,-
2023,14,UNIVERSIDADE DO VALE DO RIO DOS SINOS,UNISINOS,Universidade,Comunitária/Confessional,RS,85,0.708,3.524,0.13,4.728,0.162,4.917,3.906,4,-
2023,15,UNIVERSIDADE CATÓLICA DE PETRÓPOLIS,UCP,Universidade,Comunitária/Confessional,RJ,25,0.843,2.907,0.108,4.323,0.049,4.5,3.138,4,-
2023,17,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,Universidade,Pública Federal,MG,69,0.577,3.351,0.217,4.639,0.205,4.94,3.953,5,-
2023,18,UNIVERSIDADE CATÓLICA DE PELOTAS,UCPEL,Universidade,Comunitária/Confessional,RS,28,0.832,2.786,0.092,4.668,0.076,5.0,3.127,4,X
2023,19,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS,PUC-CAMPINAS,Universidade,Comunitária/Confessional,SP,44,0.927,2.819,0.05,4.525,0.024,4.816,2.955,4,X
2023,20,UNIVERSIDADE DE PASSO FUNDO,UPF,Universidade,Comunitária/Confessional,RS,67,0.728,3.09,0.166,4.596,0.106,4.805,3.522,4,X
2023,21,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,PUCRS,Universidade,Comunitária/Confessional,RS,45,0.57,3.451,0.176,4.986,0.255,4.985,4.116,5,X
2023,22,UNIVERSIDADE PRESBITERIANA MACKENZIE,MACKENZIE,Universidade,Comunitária/Confessional,SP,47,0.854,2.875,0.068,4.874,0.078,4.917,3.17,4,X
2023,23,UNIVERSIDADE FEEVALE,FEEVALE,Universidade,Comunitária/Confessional,RS,51,0.848,3.343,0.082,4.672,0.07,5.0,3.568,4,X
2023,24,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,UESC,Universidade,Pública Estadual,BA,32,0.657,3.122,0.188,4.566,0.155,4.843,3.66,4,-
2023,27,Centro Universitário Vale do Rio Verde,,Centro Universitário,Privada sem fins lucrativos,MG,22,0.952,2.875,0.048,4.0,0.0,0.0,2.929,3,-
2023,29,UNIVERSIDADE ESTADUAL DO CEARÁ,UECE,Universidade,Pública Estadual,CE,68,0.658,3.064,0.196,4.528,0.147,4.777,3.606,4,-
2023,30,UNIVERSIDADE PROFESSOR EDSON ANTÔNIO VELANO,UNIFENAS,Universidade,Privada sem fins lucrativos,MG,27,0.965,3.36,0.023,4.442,0.012,4.48,3.398,4,-
2023,32,UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL,UNCISAL,Universidade,Pública Estadual,AL,8,0.841,2.704,0.159,4.5,0.0,0.0,2.99,4,-
2023,33,FACULDADE DE TECNOLOGIA DE SOROCABA,FATEC SO,Faculdade,Pública Estadual,SP,2,1.0,2.951,0.0,0.0,0.0,0.0,2.951,4,-
2023,34,FACULDADE DE TECNOLOGIA DE SÃO PAULO,FATEC-SP,Faculdade,Pública Estadual,SP,3,1.0,3.023,0.0,0.0,0.0,0.0,3.023,4,-
2023,35,"FACULDADE DE TECNOLOGIA DE AMERICANA ""MINISTRO RALPH BIASI""",FATEC-AM,Faculdade,Pública Estadual,SP,3,1.0,2.533,0.0,0.0,0.0,0.0,2.533,3,-
