ano,codigo_da_ies,nome_da_ies,sigla_da_ies,organizacao_academica,categoria_administrativa,codigo_do_curso,codigo_da_area,area_de_avaliacao,modalidade_de_ensino,codigo_do_municipio,municipio_do_curso,sigla_da_uf,no_de_concluintes_inscritos,no_de_concluintes_participantes,nota_bruta_fg,nota_padronizada_fg,nota_bruta_ce,nota_padronizada_ce,conceito_enade_(continuo),concluintes_participantes_com_nota_no_enem,proporcao_de_concluintes_participantes_com_nota_no_enem,nota_bruta_idd,nota_padronizada_idd,nota_bruta_organizacao_didatico-pedagogica,nota_padronizada_organizacao_didatico-pedagogica,nota_bruta_infraestrutura_e_instalacoes_fisicas,nota_padronizada_infraestrutura_e_instalacoes_fisicas,nota_bruta_oportunidade_de_ampliacao_da_formacao,nota_padronizada_oportunidade_de_ampliacao_da_formacao,nota_bruta_mestres,nota_padronizada_mestres,nota_bruta_doutores,nota_padronizada_doutores,nota_bruta_regime_de_trabalho,nota_padronizada_regime_de_trabalho,cpc_(continuo),cpc_(faixa)
2018,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,1,2,DIREITO,Educação Presencial,5103403,CUIABA,MT,82,72,68.40972222,4.73045888,50.31805556,4.02106949,4.198416837,68,0.944444444,-1.202862111,1.742977595,4.002936,0.865028246,3.877766,1.227254918,4.152015,2.483364605,0.9787234,4.856070052,0.8297873,4.3375247,1.0,5.0,3.027883464,4
2018,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,2,13,CIÊNCIAS ECONÔMICAS,Educação Presencial,5103403,CUIABA,MT,29,23,57.55217391,3.19791328,31.03478261,1.838036159,2.178005439,23,1.0,-0.259024473,2.215010401,4.203362,1.985224456,4.599605,2.478422283,3.901701,2.279982879,0.9285714,4.126983758,0.7857143,3.9285715,1.0,5.0,2.814476755,3
2018,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,7,38,SERVIÇO SOCIAL,Educação Presencial,5103403,CUIABA,MT,32,22,48.77727273,3.273365978,54.84545455,3.460928832,3.414038119,22,1.0,0.123834363,2.566207761,4.764386,1.954098018,4.231227,1.583051771,3.406625,1.528390394,0.9411765,4.509804167,0.7647059,3.8235295,1.0,5.0,3.131664777,4
2018,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,8,22,CIÊNCIAS CONTÁBEIS,Educação Presencial,5103403,CUIABA,MT,75,66,54.43484848,4.360380752,41.85151515,3.252533983,3.529495675,65,0.984848485,-0.703735804,2.176180557,4.781238,2.630015809,4.857748,2.91761025,4.445556,3.010463458,0.9268293,4.555749315,0.6097561,3.0487805,1.0,5.0,3.059953888,4
2018,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,13,1,ADMINISTRAÇÃO,Educação Presencial,5103403,CUIABA,MT,122,101,53.38019802,3.812174935,44.89207921,3.642180043,3.684678766,93,0.920792079,-0.005393799,2.549351252,4.429596,1.739605963,4.348719,1.891008768,4.096693,2.437856159,0.8333333,3.939393747,0.7166666,3.583333,1.0,5.0,3.123130462,4
2018,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,21,22,CIÊNCIAS CONTÁBEIS,Educação Presencial,5107602,RONDONOPOLIS,MT,54,49,47.93265306,3.428961216,38.64489796,2.708895007,2.888911559,44,0.897959184,0.621035974,2.732079449,4.4985,2.080208226,4.319856,1.93700283,3.585381,1.909523446,0.7241379,3.32512294,0.2758621,1.3793105,1.0,5.0,2.665894759,3
2018,2,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pública Federal,122,13,CIÊNCIAS ECONÔMICAS,Educação Presencial,5300108,BRASILIA,DF,113,92,62.03043478,3.73067715,50.03152174,4.636377361,4.409952308,76,0.826086957,0.510713014,2.540875099,4.154842,1.903807437,4.349928,2.028849156,4.299903,2.796170637,0.9958848,4.94970311,0.8847737,4.4238685,1.0,5.0,3.495237036,4
2018,2,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pública Federal,126,38,SERVIÇO SOCIAL,Educação Presencial,5300108,BRASILIA,DF,91,81,61.08641975,4.936464568,64.64444444,4.555665231,4.650865065,72,0.888888889,-0.230034984,2.41921583,4.806548,2.05803122,4.470249,2.044798869,3.81352,2.073078528,0.9655172,4.712643333,0.8103448,4.051724,1.0,5.0,3.421524652,4
2018,2,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pública Federal,128,81,RELAÇÕES INTERNACIONAIS,Educação Presencial,5300108,BRASILIA,DF,158,134,71.74253731,3.954519854,48.61119403,3.695345465,3.760139062,122,0.910447761,-0.261307381,2.025665185,4.121772,1.426774705,4.26107,2.030960758,4.374207,2.763735999,1.0,5.0,0.9096774,4.548387,1.0,5.0,3.170918218,4
2018,2,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pública Federal,145,1,ADMINISTRAÇÃO,Educação Presencial,5300108,BRASILIA,DF,274,189,61.04126984,4.766324563,51.18783069,4.554207255,4.607236582,136,0.71957672,-0.627551692,2.290781686,4.284462,1.43828603,4.502913,2.181321437,4.217448,2.600410954,0.9946237,4.965787182,0.8709677,4.3548385,1.0,5.0,3.405828518,4
