"ano","codigo_da_ies","codigo_do_curso","nome_da_ies","nome_do_curso","conceito_enade","idd"
2021,1014,347565,"INSTITUTO SUPERIOR E CENTRO EDUCACIONAL LUTERANO - BOM JESUS - IELUSC","EDUCAÇÃO FÍSICA (BACHARELADO)",3.318,3.068
2021,1014,47565,"INSTITUTO SUPERIOR E CENTRO EDUCACIONAL LUTERANO - BOM JESUS - IELUSC","EDUCAÇÃO FÍSICA (LICENCIATURA)",3.076,3.312
2021,1189,111344,"UNIVERSIDADE DO PLANALTO CATARINENSE","PEDAGOGIA (LICENCIATURA)",1.943,2.617
2021,1189,309956,"UNIVERSIDADE DO PLANALTO CATARINENSE","EDUCAÇÃO FÍSICA (BACHARELADO)",1.331,1.57
2021,1189,64754,"UNIVERSIDADE DO PLANALTO CATARINENSE","SISTEMAS DE INFORMAÇÃO",1.945,3.29
2021,1189,84398,"UNIVERSIDADE DO PLANALTO CATARINENSE","MÚSICA (LICENCIATURA)",2.689,4.759
2021,1267,1190849,"INSTITUTO DE ENSINO SUPERIOR DA GRANDE FLORIANÓPOLIS","EDUCAÇÃO FÍSICA (BACHARELADO)",2.349,3.329
2021,1267,66911,"INSTITUTO DE ENSINO SUPERIOR DA GRANDE FLORIANÓPOLIS","CIÊNCIA DA COMPUTAÇÃO (BACHARELADO)",1.544,2.323
2021,1351,1286097,"CENTRO UNIVERSITÁRIO SOCIESC","PEDAGOGIA (LICENCIATURA)",1.767,2.247
2021,1351,1380904,"CENTRO UNIVERSITÁRIO SOCIESC","EDUCAÇÃO FÍSICA (BACHARELADO)",1.842,1.087
2021,1351,41710,"CENTRO UNIVERSITÁRIO SOCIESC","SISTEMAS DE INFORMAÇÃO",3.381,3.302
2021,13717,1103785,"FACULDADES DO VALE DO ARARANGUA - FVA","EDUCAÇÃO FÍSICA (BACHARELADO)",1.867,3.955
2021,1469,1188850,"FACULDADE CESUSC","TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS",2.49,1.986
2021,1472,101772,"CENTRO UNIVERSITÁRIO LEONARDO DA VINCI","CIÊNCIAS SOCIAIS (LICENCIATURA)",2.158,0.66
2021,1472,101774,"CENTRO UNIVERSITÁRIO LEONARDO DA VINCI","FILOSOFIA (LICENCIATURA)",1.679,1.079
2021,1472,102280,"CENTRO UNIVERSITÁRIO LEONARDO DA VINCI","PEDAGOGIA (LICENCIATURA)",1.512,2.426
2021,1472,111734,"CENTRO UNIVERSITÁRIO LEONARDO DA VINCI","ARTES VISUAIS (LICENCIATURA)",1.67,2.295
2021,1472,1259134,"CENTRO UNIVERSITÁRIO LEONARDO DA VINCI","CIÊNCIA DA COMPUTAÇÃO (LICENCIATURA)",1.509,1.814
2021,1472,1266797,"CENTRO UNIVERSITÁRIO LEONARDO DA VINCI","TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS",2.005,2.365
2021,1472,1300122,"CENTRO UNIVERSITÁRIO LEONARDO DA VINCI","EDUCAÇÃO FÍSICA (LICENCIATURA)",1.725,2.463
2021,1472,1363693,"CENTRO UNIVERSITÁRIO LEONARDO DA VINCI","Letras - Inglês",1.922,2.303
2021,1472,1375366,"CENTRO UNIVERSITÁRIO LEONARDO DA VINCI","QUÍMICA (LICENCIATURA)",2.271,2.997
2021,1472,1403882,"CENTRO UNIVERSITÁRIO LEONARDO DA VINCI","EDUCAÇÃO FÍSICA (BACHARELADO)",1.747,2.552
2021,1472,21295,"CENTRO UNIVERSITÁRIO LEONARDO DA VINCI","SISTEMAS DE INFORMAÇÃO",1.953,2.368
2021,1472,99720,"CENTRO UNIVERSITÁRIO LEONARDO DA VINCI","CIÊNCIAS BIOLÓGICAS (LICENCIATURA)",1.513,2.172
2021,1472,99940,"CENTRO UNIVERSITÁRIO LEONARDO DA VINCI","HISTÓRIA (LICENCIATURA)",1.629,2.727
2021,1472,99950,"CENTRO UNIVERSITÁRIO LEONARDO DA VINCI","GEOGRAFIA (LICENCIATURA)",1.6,2.057
2021,1472,99952,"CENTRO UNIVERSITÁRIO LEONARDO DA VINCI","MATEMÁTICA (LICENCIATURA)",1.338,2.36
2021,1472,99968,"CENTRO UNIVERSITÁRIO LEONARDO DA VINCI","LETRAS-PORTUGUÊS (LICENCIATURA)",1.796,1.998
2021,15032,150058,"UNIVERSIDADE ALTO VALE DO RIO DO PEIXE","EDUCAÇÃO FÍSICA (BACHARELADO)",1.865,1.731
2021,15032,21017,"UNIVERSIDADE ALTO VALE DO RIO DO PEIXE","SISTEMAS DE INFORMAÇÃO",2.242,2.584
2021,15032,52151,"UNIVERSIDADE ALTO VALE DO RIO DO PEIXE","EDUCAÇÃO FÍSICA (LICENCIATURA)",1.779,3.745
2021,15032,9100,"UNIVERSIDADE ALTO VALE DO RIO DO PEIXE","PEDAGOGIA (LICENCIATURA)",1.854,4.827
2021,1506,100538,"Faculdade CNEC Itajaí","PEDAGOGIA (LICENCIATURA)",1.996,0.787
2021,1510,1364620,"CENTRO UNIVERSITÁRIO ESTÁCIO DE SANTA CATARINA - ESTÁCIO SANTA CATARINA","TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS",2.26,2.574
2021,1510,1396153,"CENTRO UNIVERSITÁRIO ESTÁCIO DE SANTA CATARINA - ESTÁCIO SANTA CATARINA","TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO",3.219,3.234
2021,1510,1398023,"CENTRO UNIVERSITÁRIO ESTÁCIO DE SANTA CATARINA - ESTÁCIO SANTA CATARINA","EDUCAÇÃO FÍSICA (BACHARELADO)",2.907,3.083
2021,15121,1260434,"UNIVERSIDADE FEDERAL DA FRONTEIRA SUL","MATEMÁTICA (LICENCIATURA)",4.088,3.532
2021,15121,5000385,"UNIVERSIDADE FEDERAL DA FRONTEIRA SUL","CIÊNCIA DA COMPUTAÇÃO (BACHARELADO)",3.277,3.229
2021,15121,5000396,"UNIVERSIDADE FEDERAL DA FRONTEIRA SUL","FILOSOFIA (LICENCIATURA)",2.715,2.962
2021,15121,5000398,"UNIVERSIDADE FEDERAL DA FRONTEIRA SUL","GEOGRAFIA (LICENCIATURA)",3.729,3.303
2021,15121,5000400,"UNIVERSIDADE FEDERAL DA FRONTEIRA SUL","HISTÓRIA (LICENCIATURA)",3.7,3.38
2021,15121,5000402,"UNIVERSIDADE FEDERAL DA FRONTEIRA SUL","PEDAGOGIA (LICENCIATURA)",3.407,2.751
2021,15121,5000404,"UNIVERSIDADE FEDERAL DA FRONTEIRA SUL","LETRAS-PORTUGUÊS E ESPANHOL (LICENCIATURA)",2.83,2.737
2021,15121,5000407,"UNIVERSIDADE FEDERAL DA FRONTEIRA SUL","CIÊNCIAS SOCIAIS (LICENCIATURA)",3.139,2.59
2021,1585,1054087,"FACULDADE ENERGIA","DESIGN",1.145,0
2021,1694,1042084,"ESCOLA SUPERIOR DE CRICIÚMA - ESUCRI","EDUCAÇÃO FÍSICA (BACHARELADO)",3.296,3.198
2021,1694,104512,"ESCOLA SUPERIOR DE CRICIÚMA - ESUCRI","EDUCAÇÃO FÍSICA (LICENCIATURA)",3.61,2.351
2021,1694,50364,"ESCOLA SUPERIOR DE CRICIÚMA - ESUCRI","SISTEMAS DE INFORMAÇÃO",2.416,2.758
2021,1773,100491,"CENTRO UNIVERSITÁRIO FAI","PEDAGOGIA (LICENCIATURA)",2.6,2.904
2021,1773,1513683,"CENTRO UNIVERSITÁRIO FAI","TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO",3.291,3.326
2021,1773,1513690,"CENTRO UNIVERSITÁRIO FAI","TECNOLOGIA EM REDES DE COMPUTADORES",2.316,2.369
2021,1783,100493,"FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS","PEDAGOGIA (LICENCIATURA)",2.627,5
2021,1918,1155078,"FACULDADE CAPIVARI","PEDAGOGIA (LICENCIATURA)",2.224,2.224
2021,1957,1166126,"FACULDADE DE TECNOLOGIA SENAI JOINVILLE","TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS",2.729,2.683
2021,1958,1186571,"FACULDADE DE TECNOLOGIA SENAI BLUMENAU","TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS",2.636,1.543
2021,1988,1103856,"CENTRO UNIVERSITARIO AVANTIS","EDUCAÇÃO FÍSICA (LICENCIATURA)",3.331,4.134
2021,1988,1140282,"CENTRO UNIVERSITARIO AVANTIS","EDUCAÇÃO FÍSICA (BACHARELADO)",2.715,2.27
2021,1988,1173141,"CENTRO UNIVERSITARIO AVANTIS","PEDAGOGIA (LICENCIATURA)",1.942,2.289
2021,1988,1405546,"CENTRO UNIVERSITARIO AVANTIS","TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS",2.772,3.996
2021,1988,83894,"CENTRO UNIVERSITARIO AVANTIS","SISTEMAS DE INFORMAÇÃO",2.117,2.902
2021,2175,122592,"CENTRO UNIVERSITÁRIO DANTE","EDUCAÇÃO FÍSICA (BACHARELADO)",1.39,0.677
2021,2175,67934,"CENTRO UNIVERSITÁRIO DANTE","SISTEMAS DE INFORMAÇÃO",1.447,1.996
2021,2369,100528,"INSTITUTO DE ENSINO SUPERIOR SANTO ANTÔNIO","PEDAGOGIA (LICENCIATURA)",3.399,3.58
2021,2462,79645,"FACULDADE SÃO LUÍS","FILOSOFIA (BACHARELADO)",3.213,3.481
2021,2755,67785,"FACULDADE DO VALE DO ITAJAÍ MIRIM","SISTEMAS DE INFORMAÇÃO",1.342,1.442
2021,3151,1121738,"UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ","DESIGN",3.428,4.222
2021,3151,119844,"UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ","EDUCAÇÃO FÍSICA (BACHARELADO)",2.436,3.603
2021,3151,20993,"UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ","EDUCAÇÃO FÍSICA (LICENCIATURA)",2.503,2.527
2021,3151,303848,"UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ","CIÊNCIAS BIOLÓGICAS (BACHARELADO)",2.098,2.323
2021,3151,32870,"UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ","LETRAS-PORTUGUÊS E INGLÊS (LICENCIATURA)",4.025,4.309
2021,3151,3838,"UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ","PEDAGOGIA (LICENCIATURA)",2.484,3.734
