"ano","codigo_da_area","area_de_avaliacao","codigo_da_ies","nome_da_ies","sigla_da_ies","organizacao_academica","categoria_administrativa","codigo_do_curso","modalidade_de_ensino","codigo_do_municipio","municipio_do_curso","sigla_da_uf","no_de_concluintes_inscritos","no_de_concluintes_participantes","no_de_concluintes_participantes_com_nota_no_enem","proporcao_de_concluintes_participantes_com_nota_no_enem","nota_bruta_idd","idd_.continuo.","idd_.faixa.","entidade_beneficiente_de_assistencia_social_.cebas."
"2021",2501,"ARTES VISUAIS ",43,"FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA","UDESC","Universidade","Pública Estadual",117352,"Educação Presencial",4205407,"Florianópolis","SC",24,22,10,0.454,1.529,2.864,"3","-"
"2021",2501,"ARTES VISUAIS ",76,"UNIVERSIDADE REGIONAL DE BLUMENAU","FURB","Universidade","Pública Municipal",1178043,"Educação Presencial",4202404,"Blumenau","SC",15,14,9,0.642,6.297,4.499,"5","-"
"2021",2501,"ARTES VISUAIS ",482,"UNIVERSIDADE DO EXTREMO SUL CATARINENSE","UNESC","Universidade","Privada sem fins lucrativos",119216,"Educação Presencial",4204608,"Criciúma","SC",17,14,8,0.571,7.758,5,"5","X"
"2021",2501,"ARTES VISUAIS ",1472,"CENTRO UNIVERSITÁRIO LEONARDO DA VINCI","UNIASSELVI","Centro Universitário","Privada com fins lucrativos",111734,"Educação a Distância",4207502,"Indaial","SC",247,174,80,0.459,-0.128,2.295,"3","-"
"2021",2501,"ARTES VISUAIS ",3151,"UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ","UNOCHAPECÓ","Universidade","Privada sem fins lucrativos",70694,"Educação Presencial",4204202,"Chapecó","SC",15,13,8,0.615,2.307,3.131,"4","X"
"2021",4004,"CIÊNCIA DA COMPUTAÇÃO ",43,"FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA","UDESC","Universidade","Pública Estadual",54520,"Educação Presencial",4209102,"Joinville","SC",51,45,37,0.822,1.006,3.149,"4","-"
"2021",4004,"CIÊNCIA DA COMPUTAÇÃO ",76,"UNIVERSIDADE REGIONAL DE BLUMENAU","FURB","Universidade","Pública Municipal",3676,"Educação Presencial",4202404,"Blumenau","SC",37,30,27,0.9,1.818,3.533,"4","-"
"2021",4004,"CIÊNCIA DA COMPUTAÇÃO ",82,"UNIVERSIDADE DO OESTE DE SANTA CATARINA","UNOESC","Universidade","Privada sem fins lucrativos",3859,"Educação Presencial",4219309,"Videira","SC",8,7,6,0.857,0.183,2.761,"3","X"
"2021",4004,"CIÊNCIA DA COMPUTAÇÃO ",82,"UNIVERSIDADE DO OESTE DE SANTA CATARINA","UNOESC","Universidade","Privada sem fins lucrativos",1169186,"Educação Presencial",4217204,"São Miguel do Oeste","SC",14,12,10,0.833,2.217,3.722,"4","X"
"2021",4004,"CIÊNCIA DA COMPUTAÇÃO ",83,"UNIVERSIDADE DO VALE DO ITAJAÍ","UNIVALI","Universidade","Privada sem fins lucrativos",3935,"Educação Presencial",4208203,"Itajaí","SC",23,18,11,0.611,2.985,4.084,"5","-"
"2021",4004,"CIÊNCIA DA COMPUTAÇÃO ",83,"UNIVERSIDADE DO VALE DO ITAJAÍ","UNIVALI","Universidade","Privada sem fins lucrativos",19437,"Educação Presencial",4216602,"São José","SC",25,24,16,0.666,1.295,3.286,"4","-"
"2021",4004,"CIÊNCIA DA COMPUTAÇÃO ",482,"UNIVERSIDADE DO EXTREMO SUL CATARINENSE","UNESC","Universidade","Privada sem fins lucrativos",17937,"Educação Presencial",4204608,"Criciúma","SC",72,41,31,0.756,-0.567,2.406,"3","X"
"2021",4004,"CIÊNCIA DA COMPUTAÇÃO ",494,"UNIVERSIDADE DO SUL DE SANTA CATARINA","UNISUL","Universidade","Privada sem fins lucrativos",10059,"Educação Presencial",4218707,"Tubarão","SC",61,36,29,0.805,-0.064,2.644,"3","X"
"2021",4004,"CIÊNCIA DA COMPUTAÇÃO ",585,"UNIVERSIDADE FEDERAL DE SANTA CATARINA","UFSC","Universidade","Pública Federal",14217,"Educação Presencial",4205407,"Florianópolis","SC",99,79,73,0.924,-0.471,2.452,"3","-"
"2021",4004,"CIÊNCIA DA COMPUTAÇÃO ",1267,"INSTITUTO DE ENSINO SUPERIOR DA GRANDE FLORIANÓPOLIS","IESGF","Faculdade","Privada com fins lucrativos",66911,"Educação Presencial",4216602,"São José","SC",26,20,13,0.65,-0.744,2.323,"3","-"
