"ano","codigo_da_ies","nome_da_ies","sigla_da_ies","organizacao_academica","categoria_administrativa","sigla_da_uf","no_de_cursos_com_cpc_no_trienio","alfa_.proporcao_de_graduacao.","conceito_medio_de_graduacao","beta_.proporcao_de_mestrado_equivalente.","conceito_medio_de_mestrado","gama_.proporcao_de_doutorandos_._equivalente.","conceito_medio_do_doutorado","igc_.continuo.","igc_.faixa.","entidade_beneficiente_de_assistencia_social_.cebas."
"2021",43,"FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA","UDESC","Universidade","Pública Estadual","SC",39,0.675,3.214,0.179,4.392,0.145,4.695,3.64,"4","-"
"2021",76,"UNIVERSIDADE REGIONAL DE BLUMENAU","FURB","Universidade","Pública Municipal","SC",44,0.849,2.845,0.093,4.488,0.056,4.856,3.112,"4","-"
"2021",80,"CENTRO UNIVERSITÁRIO PARA O DESENVOLVIMENTO DO ALTO VALE DO ITAJAÍ","UNIDAVI","Centro Universitário","Privada sem fins lucrativos","SC",12,1,3.282,0,0,0,0,3.282,"4","X"
"2021",81,"UNIVERSIDADE DA REGIÃO DE JOINVILLE","UNIVILLE","Universidade","Privada sem fins lucrativos","SC",34,0.911,2.696,0.068,4.416,0.02,4.5,2.85,"3","-"
"2021",82,"UNIVERSIDADE DO OESTE DE SANTA CATARINA","UNOESC","Universidade","Privada sem fins lucrativos","SC",83,0.955,3.015,0.031,4.364,0.012,4.5,3.077,"4","X"
"2021",83,"UNIVERSIDADE DO VALE DO ITAJAÍ","UNIVALI","Universidade","Privada sem fins lucrativos","SC",54,0.852,2.895,0.072,4.571,0.075,4.967,3.172,"4","-"
"2021",87,"CENTRO UNIVERSITÁRIO DE BRUSQUE","UNIFEBE","Centro Universitário","Privada sem fins lucrativos","SC",15,1,2.793,0,0,0,0,2.793,"3","-"
"2021",441,"UNIVERSIDADE DO CONTESTADO","UNC","Universidade","Privada sem fins lucrativos","SC",44,0.984,2.473,0.013,4.261,0.001,4.5,2.501,"3","-"
"2021",482,"UNIVERSIDADE DO EXTREMO SUL CATARINENSE","UNESC","Universidade","Privada sem fins lucrativos","SC",36,0.857,2.536,0.079,4.36,0.062,4.716,2.817,"3","X"
"2021",494,"UNIVERSIDADE DO SUL DE SANTA CATARINA","UNISUL","Universidade","Privada sem fins lucrativos","SC",92,0.95,2.777,0.029,4.657,0.02,4.884,2.875,"3","X"
"2021",585,"UNIVERSIDADE FEDERAL DE SANTA CATARINA","UFSC","Universidade","Pública Federal","SC",70,0.448,3.407,0.254,4.75,0.297,4.914,4.197,"5","-"
"2021",645,"Centro Universitário - Católica de Santa Catarina em Jaraguá do Sul","Católica em Jaraguá","Centro Universitário","Privada sem fins lucrativos","SC",12,1,2.828,0,0,0,0,2.828,"3","-"
"2021",1014,"INSTITUTO SUPERIOR E CENTRO EDUCACIONAL LUTERANO - BOM JESUS - IELUSC","BOM JESUS/IELUSC","Faculdade","Privada sem fins lucrativos","SC",7,1,2.608,0,0,0,0,2.608,"3","X"
"2021",1189,"UNIVERSIDADE DO PLANALTO CATARINENSE","UNIPLAC","Universidade","Privada sem fins lucrativos","SC",20,0.971,2.519,0.028,4,0,0,2.56,"3","-"
"2021",1267,"INSTITUTO DE ENSINO SUPERIOR DA GRANDE FLORIANÓPOLIS","IESGF","Faculdade","Privada com fins lucrativos","SC",9,1,2.371,0,0,0,0,2.371,"3","-"
"2021",1344,"FACULDADE BORGES DE MENDONÇA","FBM","Faculdade","Privada com fins lucrativos","SC",2,1,2.361,0,0,0,0,2.361,"3","-"
"2021",1351,"CENTRO UNIVERSITÁRIO SOCIESC","","Centro Universitário","Privada com fins lucrativos","SC",28,1,3.401,0,0,0,0,3.401,"4","-"
"2021",1469,"FACULDADE CESUSC","","Faculdade","Privada com fins lucrativos","SC",6,1,2.972,0,0,0,0,2.972,"4","-"
"2021",1472,"CENTRO UNIVERSITÁRIO LEONARDO DA VINCI","UNIASSELVI","Centro Universitário","Privada com fins lucrativos","SC",43,1,2.706,0,0,0,0,2.706,"3","-"
"2021",1506,"Faculdade CNEC Itajaí","","Faculdade","Privada sem fins lucrativos","SC",5,1,2.775,0,0,0,0,2.775,"3","X"
"2021",1510,"CENTRO UNIVERSITÁRIO ESTÁCIO DE SANTA CATARINA - ESTÁCIO SANTA CATARINA","","Centro Universitário","Privada com fins lucrativos","SC",36,1,2.682,0,0,0,0,2.682,"3","-"
"2021",1530,"Faculdade CNEC Joinville","","Faculdade","Privada sem fins lucrativos","SC",5,1,2.754,0,0,0,0,2.754,"3","X"
"2021",1585,"FACULDADE ENERGIA","","Faculdade","Privada com fins lucrativos","SC",3,1,2.426,0,0,0,0,2.426,"3","-"
"2021",1618,"CENTRO UNIVERSITÁRIO SOCIESC DE BLUMENAU","","Centro Universitário","Privada com fins lucrativos","SC",8,1,3.922,0,0,0,0,3.922,"4","-"
"2021",1694,"ESCOLA SUPERIOR DE CRICIÚMA - ESUCRI","ESUCRI","Faculdade","Privada com fins lucrativos","SC",11,1,2.222,0,0,0,0,2.222,"3","-"
"2021",1773,"CENTRO UNIVERSITÁRIO FAI","","Centro Universitário","Privada com fins lucrativos","SC",10,1,2.601,0,0,0,0,2.601,"3","-"
"2021",1777,"CENTRO UNIVERSITÁRIO LEONARDO DA VINCI","UNIVINCI","Centro Universitário","Privada com fins lucrativos","SC",12,1,2.944,0,0,0,0,2.944,"3","-"
"2021",1783,"FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS","FACISA","Faculdade","Privada sem fins lucrativos","SC",9,1,2.03,0,0,0,0,2.03,"3","X"
"2021",1827,"FACULDADE LUTERANA DE TEOLOGIA","FLT","Faculdade","Privada sem fins lucrativos","SC",1,1,3.238,0,0,0,0,3.238,"4","X"
"2021",1918,"FACULDADE CAPIVARI","FUCAP","Faculdade","Privada com fins lucrativos","SC",9,1,2.338,0,0,0,0,2.338,"3","-"
"2021",1957,"FACULDADE DE TECNOLOGIA SENAI JOINVILLE","SENAI DE JOINVILLE","Faculdade","Privada sem fins lucrativos","SC",1,1,2.435,0,0,0,0,2.435,"3","-"
"2021",1958,"FACULDADE DE TECNOLOGIA SENAI BLUMENAU","CET BLUMENAU","Faculdade","Privada sem fins lucrativos","SC",2,1,1.727,0,0,0,0,1.727,"2","-"
"2021",1980,"FACULDADE SINERGIA","SINERGIA","Faculdade","Privada com fins lucrativos","SC",3,1,2.725,0,0,0,0,2.725,"3","-"
"2021",1988,"CENTRO UNIVERSITARIO AVANTIS","UNIAVAN","Centro Universitário","Privada com fins lucrativos","SC",13,1,2.902,0,0,0,0,2.902,"3","-"
"2021",2174,"FACULDADE DE SANTA CATARINA","FASC","Faculdade","Privada com fins lucrativos","SC",2,1,2.215,0,0,0,0,2.215,"3","-"
