"","Var1","Var2","Freq"
"1","Educação a Distância","Comunitária/Confessional",11
"2","Educação Presencial","Comunitária/Confessional",150
"3","Educação a Distância","Especial",6
"4","Educação Presencial","Especial",19
"5","Educação a Distância","Privada com fins lucrativos",152
"6","Educação Presencial","Privada com fins lucrativos",324
"7","Educação a Distância","Privada sem fins lucrativos",86
"8","Educação Presencial","Privada sem fins lucrativos",360
"9","Educação a Distância","Pública Estadual",3
"10","Educação Presencial","Pública Estadual",40
"11","Educação a Distância","Pública Federal",6
"12","Educação Presencial","Pública Federal",147
"13","Educação a Distância","Pública Municipal",0
"14","Educação Presencial","Pública Municipal",45
